=@RssOrderList($A$2:$AD$2) => 接続待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注文番号,受付No,通常注文状況,逆指値注文状況,アルゴ注文状況,銘柄コード,銘柄名称,口座区分,市場名称,信用区分,弁済期限,発注/受注日時,売買,取引,執行条件,注文期限,注文数量,約定数量,注文単価,注文区分,逆指値条件,セット注文,セット注文条件,税区分,注文失効日時,注文失効理由,入力経路,アルゴ注文条件,価格判定時刻,価格判定情報/対象外理由
